,Push,
Incline bench press(5),3x10,15x8
Flat bench press,3x12,15x10
Lateral Raises (16),3x20,1.25+0.6x12
Rear delt flye,3x15,35x8
Rope extension,2x15,8.75x12
Cable press down,2x15,11.25x10
,LEGS,
Leg press ,4x8,105x7
SL RDL,3x8,7.5x6
Hip abduction machine,3x20,22.5+3.75x14
Leg extension(4),3x15,57.5x13
Seated calf raises,3x20,10x12
Pallof press(11),3x15,11.25x10
,Upper 2 ,
Pulldowns,3x10,23.5x7
Machine rows (4),3x12,35+3.75x 9
In. Db press,3x12,
Db shoulder press,3x12,10x8
Bicep curls,2x15,12.5x6
Shrugs,2x15,20x10
baysein curls(16),2x15,11.25x11
,LOWER,
Machine Hip Thrusts,3x10,60x5
Walking Lunge,2x12,15x
Split squats,2x12,20x6
Leg curl (4),3x15,50+3.75x 11
Hip adduction (6),3x20,30+3.75x11
S.S Calf raises,3x20,10x13
Leg raises,3x15,10
